,Classifier,Umap - 10,Train,Test,accuracy - mean,accuracy - std,f1 score (weighted) - mean,f1 score (weighted) - std,f1-score - mean - sit,f1-score - mean - stand,f1-score - mean - walk,f1-score - mean - stair up,f1-score - mean - stair down,f1-score - mean - run,f1-score - mean - stair up and down,f1-score - std - sit,f1-score - std - stand,f1-score - std - walk,f1-score - std - stair up,f1-score - std - stair down,f1-score - std - run,f1-score - std - stair up and down,precision - mean - sit,precision - mean - stand,precision - mean - walk,precision - mean - stair up,precision - mean - stair down,precision - mean - run,precision - mean - stair up and down,precision - std - sit,precision - std - stand,precision - std - walk,precision - std - stair up,precision - std - stair down,precision - std - run,precision - std - stair up and down,recall - mean - sit,recall - mean - stand,recall - mean - walk,recall - mean - stair up,recall - mean - stair down,recall - mean - run,recall - mean - stair up and down,recall - std - sit,recall - std - stand,recall - std - walk,recall - std - stair up,recall - std - stair down,recall - std - run,recall - std - stair up and down,support - mean - sit,support - mean - stand,support - mean - walk,support - mean - stair up,support - mean - stair down,support - mean - run,support - mean - stair up and down,support - std - sit,support - std - stand,support - std - walk,support - std - stair up,support - std - stair down,support - std - run,support - std - stair up and down
3567,RandomForest,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",MotionSense,0.5755341880341881,0.0024386137201951787,0.5460528961052857,0.0023598068225169763,0.7904964666649801,0.7998599309764788,0.7318235990573294,0.0,0.0,0.9541373799329259,,0.008197061639325737,0.007536701430348458,0.0036036215887448237,0.0,0.0,0.002923249597191318,,0.8117942009691614,0.7798514778614358,0.6360684870104165,0.0,0.0,0.9123120122731325,,0.010845999553903914,0.010459192381884077,0.0031734696783200936,0.0,0.0,0.005354176232563128,,0.7705128205128204,0.8211538461538461,0.8615384615384617,0.0,0.0,1.0,,0.013985528352097059,0.01358308980795966,0.005875097044815207,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3568,SVC,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",MotionSense,0.5705128205128205,0.0,0.5397291012672945,0.0,0.8,0.7868852459016392,0.6914893617021277,0.0,0.0,0.9600000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7804878048780488,0.8053691275167785,0.5909090909090909,0.0,0.0,0.9230769230769231,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8205128205128205,0.7692307692307693,0.8333333333333334,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3569,KNN,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",MotionSense,0.5662393162393162,0.0,0.5349514738414806,0.0,0.76875,0.760655737704918,0.7377049180327869,0.0,0.0,0.9425981873111783,,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,0.7785234899328859,0.6428571428571429,0.0,0.0,0.8914285714285715,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7884615384615384,0.7435897435897436,0.8653846153846154,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
3570,RandomForest,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",WISDM,0.7101003113109651,0.002543960706772316,0.7392139165370801,0.002549434250433871,0.7321772962061568,0.6924377102907879,0.7069350006517738,,,0.9682706822343112,0.5803638907207374,0.004042341842668668,0.005432143751685028,0.004918630403121577,,,0.0012980193027049,0.0033646413736229627,0.7330921147237249,0.6566849129321356,0.8140515231577057,,,0.9745923886434037,0.7418275153905756,0.008431012988084866,0.0030095162830414473,0.0050160121720061734,,,0.0020895394416755213,0.004752394874684402,0.7313559322033899,0.7323728813559323,0.6247457627118644,,,0.9620338983050848,0.47664783427495294,0.005319442314059386,0.01023846665121286,0.005631609398588528,,,0.001553415489815563,0.004248781232647265,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
3571,SVC,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",WISDM,0.661708751297129,0.0,0.6897532369156433,0.0,0.6823161189358372,0.5711820534943918,0.7164461247637052,,,0.9731601731601731,0.4852071005917159,0.0,0.0,0.0,,,0.0,0.0,0.6337209302325582,0.5817223198594025,0.8098290598290598,,,0.9946902654867257,0.6528662420382165,0.0,0.0,0.0,,,0.0,0.0,0.7389830508474576,0.5610169491525424,0.6423728813559322,,,0.9525423728813559,0.3860640301318267,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
3572,KNN,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",WISDM,0.6935316499481149,0.0,0.7219543305982596,0.0,0.6993243243243245,0.6623690572119258,0.6934865900383141,,,0.968403074295474,0.571103526734926,0.0,0.0,0.0,,,0.0,0.0,0.696969696969697,0.631336405529954,0.7973568281938326,,,0.9759036144578314,0.7212643678160919,0.0,0.0,0.0,,,0.0,0.0,0.7016949152542373,0.6966101694915254,0.6135593220338983,,,0.9610169491525423,0.4726930320150659,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
3573,RandomForest,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",UCI,0.7464977645305514,0.006373593079088846,0.7455467916983853,0.006439510322414392,0.6370611700244063,0.6387442397730337,0.9189744022978793,0.7776926088578736,0.7770034901660474,,,0.011628160359933436,0.014734361828447057,0.003562739478450636,0.009303823648458765,0.006142970721504542,,,0.6527737083717206,0.6239892331309798,0.8775025693730729,0.7865194911402704,0.8116605307561457,,,0.014741311678640276,0.01153443019925632,0.0023654759850544544,0.010330011156589203,0.009003358513877277,,,0.6222222222222222,0.6543478260869565,0.9645669291338581,0.7691176470588235,0.7452380952380953,,,0.012108052620946295,0.019990020614686573,0.005282050340550675,0.010502100630210088,0.006592558621363528,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
3574,SVC,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",UCI,0.6184798807749627,0.0,0.5862841714003402,0.0,0.6157894736842106,0.20652173913043478,0.9213483146067415,0.6388888888888888,0.5739910313901345,,,0.0,0.0,0.0,0.0,0.0,,,0.4957627118644068,0.41304347826086957,0.8785714285714286,0.6052631578947368,0.6597938144329897,,,0.0,0.0,0.0,0.0,0.0,,,0.8125,0.13768115942028986,0.968503937007874,0.6764705882352942,0.5079365079365079,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
3575,KNN,"['KuHar', 'UCI']","['KuHar', 'ExtraSensory', 'WISDM', 'UCI']",UCI,0.7302533532041728,0.0,0.7363487561365877,0.0,0.6480836236933798,0.6353790613718412,0.896551724137931,0.7586206896551724,0.7622950819672131,,,0.0,0.0,0.0,0.0,0.0,,,0.6503496503496503,0.6330935251798561,0.8731343283582089,0.792,0.788135593220339,,,0.0,0.0,0.0,0.0,0.0,,,0.6458333333333334,0.6376811594202898,0.9212598425196851,0.7279411764705882,0.7380952380952381,,,0.0,0.0,0.0,0.0,0.0,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
3576,RandomForest,"['KuHar', 'UCI']","['MotionSense', 'ExtraSensory', 'WISDM', 'UCI']",KuHar,0.5231707317073171,0.006310640120430883,0.5144495555225022,0.007669877175129951,0.6647065544961888,0.3150071861100543,0.5507094846900672,0.19573563467940366,0.4805384731592988,0.8800000000000001,,0.015458536309219112,0.028024555972847164,0.008341915925229265,0.028963711461146135,0.02298630579086767,0.0,,0.5296059371226765,0.6647693972693972,0.45599078341013827,0.6797619047619048,0.5550327858416093,0.9705882352941175,,0.01018429159317521,0.07235922711954586,0.006503471307275582,0.04232473532055043,0.03004828663513714,1.1102230246251565e-16,,0.8926829268292684,0.20731707317073172,0.6951219512195121,0.1146341463414634,0.42439024390243907,0.8048780487804879,,0.031234752377721223,0.02248669379827533,0.012195121951219468,0.01904938945343086,0.024873265919964804,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
