,Classifier,Umap - 10,Train,Test,accuracy - mean,accuracy - std,f1 score (weighted) - mean,f1 score (weighted) - std,f1-score - mean - sit,f1-score - mean - stand,f1-score - mean - walk,f1-score - mean - stair up,f1-score - mean - stair down,f1-score - mean - run,f1-score - mean - stair up and down,f1-score - std - sit,f1-score - std - stand,f1-score - std - walk,f1-score - std - stair up,f1-score - std - stair down,f1-score - std - run,f1-score - std - stair up and down,precision - mean - sit,precision - mean - stand,precision - mean - walk,precision - mean - stair up,precision - mean - stair down,precision - mean - run,precision - mean - stair up and down,precision - std - sit,precision - std - stand,precision - std - walk,precision - std - stair up,precision - std - stair down,precision - std - run,precision - std - stair up and down,recall - mean - sit,recall - mean - stand,recall - mean - walk,recall - mean - stair up,recall - mean - stair down,recall - mean - run,recall - mean - stair up and down,recall - std - sit,recall - std - stand,recall - std - walk,recall - std - stair up,recall - std - stair down,recall - std - run,recall - std - stair up and down,support - mean - sit,support - mean - stand,support - mean - walk,support - mean - stair up,support - mean - stair down,support - mean - run,support - mean - stair up and down,support - std - sit,support - std - stand,support - std - walk,support - std - stair up,support - std - stair down,support - std - run,support - std - stair up and down
576,RandomForest,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",KuHar,0.75,0.00857521264623129,0.7499870685849757,0.008826180248443288,0.8168423664505549,0.7610336960549613,0.7497616393268567,0.6027415716228731,0.648490506475661,0.9210526315789475,,0.01197964375561947,0.01885122435546544,0.005279896479288229,0.015998828438091455,0.01826565424977258,0.0,,0.7319230611128502,0.8977889122834896,0.68421768707483,0.624505333847439,0.6486209654403075,1.0,,0.01470253914725742,0.020737677087335496,0.008776301182514355,0.020323768018379804,0.00983506712594502,0.0,,0.9243902439024391,0.6609756097560975,0.8292682926829269,0.5829268292682928,0.648780487804878,0.853658536585366,,0.017073170731707298,0.025464162216855005,1.1102230246251565e-16,0.020260058202239178,0.029268292682926834,1.1102230246251565e-16,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
577,SVC,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",KuHar,0.6300813008130082,0.0,0.6122246390609992,0.0,0.7079646017699116,0.3529411764705882,0.5434782608695652,0.5555555555555556,0.6067415730337078,0.9066666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5555555555555556,0.9,0.49019607843137253,0.6451612903225806,0.5625,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.975609756097561,0.21951219512195122,0.6097560975609756,0.4878048780487805,0.6585365853658537,0.8292682926829268,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
578,KNN,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",KuHar,0.7398373983739838,0.0,0.7393065819927516,0.0,0.7741935483870966,0.7042253521126761,0.7727272727272727,0.6506024096385543,0.625,0.9090909090909091,,0.0,0.0,0.0,0.0,0.0,0.0,,0.6923076923076923,0.8333333333333334,0.723404255319149,0.6428571428571429,0.6410256410256411,0.9722222222222222,,0.0,0.0,0.0,0.0,0.0,0.0,,0.8780487804878049,0.6097560975609756,0.8292682926829268,0.6585365853658537,0.6097560975609756,0.8536585365853658,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,41.0,41.0,41.0,41.0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,
579,RandomForest,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",MotionSense,0.44594017094017097,0.006675427073424491,0.4269113748236328,0.010132448769809854,0.5537265239751342,0.407291147908562,0.5233481839721709,0.44637217540735846,0.4342835415976484,0.19644667608092253,,0.014912821280234401,0.012189759694997302,0.006584158649955156,0.008686159501083713,0.005512155432861788,0.05270979006015445,,0.49834940558515683,0.4486845136178862,0.5545908953288384,0.5406525114356504,0.3166804243184383,0.8068533399005536,,0.010576937894188714,0.016311496874336154,0.007976430610982804,0.011982612754127408,0.005422125053590442,0.03851542952010692,,0.623076923076923,0.3730769230769231,0.49551282051282053,0.3801282051282051,0.691025641025641,0.11282051282051282,,0.02216873905870588,0.012094847605200782,0.008133703551570193,0.0076117577481012375,0.008504166129116416,0.03357897654797127,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
580,SVC,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",MotionSense,0.41452991452991456,0.0,0.386479716305136,0.0,0.6119402985074627,0.675603217158177,0.5545722713864307,0.29585798816568043,0.18090452261306533,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.7321428571428571,0.5806451612903226,0.5136612021857924,0.27472527472527475,0.1487603305785124,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5256410256410257,0.8076923076923077,0.6025641025641025,0.32051282051282054,0.23076923076923078,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
581,KNN,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",MotionSense,0.4423076923076923,0.0,0.4195210879110417,0.0,0.5313432835820896,0.43564356435643564,0.5208333333333334,0.4802867383512544,0.43407707910750515,0.11494252873563218,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4972067039106145,0.4489795918367347,0.5681818181818182,0.5447154471544715,0.31750741839762614,0.5555555555555556,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5705128205128205,0.4230769230769231,0.4807692307692308,0.42948717948717946,0.6858974358974359,0.0641025641025641,,0.0,0.0,0.0,0.0,0.0,0.0,,156.0,156.0,156.0,156.0,156.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,
582,RandomForest,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",WISDM,0.4314769975786925,0.006797990174493677,0.47450687392422813,0.006743980690714439,0.5820430312388011,0.5526163736875465,0.6086423586493623,,,0.5817819186530082,0.0,0.00575057415757676,0.006638592918315512,0.0029655881499858735,,,0.026878477217196568,0.0,0.609582768005109,0.5001153803488882,0.7203558459567017,,,0.9874052958318075,0.0,0.0065017866979923825,0.004758451713279866,0.0022854622960740145,,,0.001186210349330517,0.0,0.556949152542373,0.617457627118644,0.526949152542373,,,0.41288135593220343,0.0,0.00784802501884084,0.009796844757029443,0.004638621079120019,,,0.02653178566691457,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
583,SVC,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",WISDM,0.39986163957108267,0.0,0.42344060947911477,0.0,0.35584415584415585,0.6243447874199184,0.6432264736297828,,,0.45144356955380577,0.0,0.0,0.0,0.0,,,0.0,0.0,0.7611111111111111,0.4755989352262644,0.8249336870026526,,,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.23220338983050848,0.9084745762711864,0.5271186440677966,,,0.29152542372881357,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
584,KNN,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",WISDM,0.423728813559322,0.0,0.4661057914941712,0.0,0.5556544968833481,0.5371078806426931,0.6146435452793834,,,0.5765124555160143,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5853658536585366,0.4895397489539749,0.7120535714285714,,,0.9604743083003953,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5288135593220339,0.5949152542372881,0.5406779661016949,,,0.411864406779661,0.0,0.0,0.0,0.0,,,0.0,0.0,590.0,590.0,590.0,,,590.0,531.0,0.0,0.0,0.0,,,0.0,0.0
585,RandomForest,['KuHar'],"['KuHar', 'ExtraSensory', 'UCI']",UCI,0.7795827123695976,0.006232644907995974,0.7781029341368486,0.006307426518161159,0.7217377584929999,0.6751904543801074,0.9245938472174213,0.7970824269351721,0.787094604909386,,,0.012942321221795243,0.01697978643110431,0.0010542689249913861,0.003794652859173023,0.00430582741329913,,,0.6886977752628161,0.7123102954454748,0.8911657363675397,0.7898946184667173,0.8339549843275973,,,0.01432494265539479,0.01620979407309495,0.0019643623872906855,0.003582903669605943,0.00609860947597333,,,0.7583333333333333,0.6420289855072465,0.9606299212598424,0.8044117647058824,0.7452380952380953,,,0.01695354946629679,0.022027078483435745,1.1102230246251565e-16,0.004877389397581453,0.004273940323122607,,,144.0,138.0,127.0,136.0,126.0,,,0.0,0.0,0.0,0.0,0.0,,
